A5,hh_altersmok2,smoking,hh_turnover
7,0,0,.14285715
7,,,.71428573
5,,,.16666667
5,,,.14285715
5,,,.71428573
0,,,0
0,0,10,0
0,,,0
1,,,0
1,10,0,0
1,0,0,0
3,,,0
3,10,0,0
3,0,0,0
3,,,0
3,10,0,0
3,0,0,0
0,,,0
0,3,10,0
0,3,8,.25
0,0,10,.33333334
0,0,1,.5
1,,,0
1,13,0,0
1,11,0,.25
1,10,0,.33333334
1,1,0,.5
3,,,0
3,13,0,0
,,,.25
3,,,.5
2,,,0
2,10,3,0
6,8,3,.25
,,,.33333334
2,,,.5
0,,,0
0,15,0,.42857143
,,,.5
1,,,0
1,1,14,.42857143
0,0,20,.5
3,,,0
3,14,1,.42857143
3,20,0,.5
3,,,0
3,15,0,.42857143
,,,.5
